City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,cabo san lucas,22.8909,-109.9124,27.64,70,20,4.63,MX,1697296188
326,nuriootpa,-34.4833,139.0,12.12,89,100,3.71,AU,1697296409
327,alofi,-19.0595,-169.9187,23.81,81,22,6.73,NU,1697296409
328,junin de los andes,-39.9504,-71.0694,13.19,37,85,1.8,AR,1697296409
329,tarawa,1.419,172.984,27.05,89,75,1.03,KI,1697296409
330,cacheu,12.2706,-16.1658,32.05,50,64,2.42,GW,1697296410
331,krasnyy yar,46.5331,48.3456,18.86,58,45,2.82,RU,1697296410
332,forster,-32.1667,152.5167,16.15,53,0,3.19,AU,1697296410
333,coron,11.9986,120.2043,26.53,85,98,1.43,PH,1697296410
334,ornskoldsvik,63.2909,18.7153,7.53,76,40,3.09,SE,1697296410
335,mundri,-6.9558,111.71,27.18,73,38,2.08,ID,1697296410
336,nagqu,31.5,92.0,-0.48,46,97,1.14,CN,1697296410
337,timbuktu,16.7735,-3.0074,39.29,9,1,3.87,ML,1697296411
338,punta arenas,-53.15,-70.9167,11.06,50,75,10.8,CL,1697296253
339,taikang,46.8333,124.4167,12.7,32,46,8.63,CN,1697296411
340,kavaratti,10.5669,72.642,27.48,78,100,5.26,IN,1697296411
341,bandar-e lengeh,26.5579,54.8807,30.95,60,0,2.43,IR,1697296411
342,emerald,-23.5333,148.1667,19.63,27,0,3.76,AU,1697296411
343,gambiran satu,-8.3939,114.1464,22.53,84,75,0.91,ID,1697296411
344,comodoro rivadavia,-45.8667,-67.5,14.66,46,7,3.4,AR,1697296412
345,la reforma,25.0833,-108.05,26.8,73,0,1.39,MX,1697296412
346,buurhakaba,2.8026,44.0781,33.15,40,36,6.87,SO,1697296412
347,ribadesella,43.4614,-5.0596,17.75,84,99,3.57,ES,1697296412
348,sao paulo de olivenca,-3.3783,-68.8725,34.38,43,36,1.31,BR,1697296412
349,darovskoy,58.77,47.9564,6.02,85,100,3.94,RU,1697296412
350,pontian kechil,1.4866,103.3896,28.89,84,46,2.99,MY,1697296412
351,arraial do cabo,-22.9661,-42.0278,21.92,83,75,6.17,BR,1697296413
352,bel ombre,-4.6167,55.4167,26.91,83,40,2.06,SC,1697296413
353,olinda,-8.0089,-34.8553,29.85,58,40,5.14,BR,1697296215
354,holualoa,19.6228,-155.9522,24.93,80,0,3.09,US,1697296334
355,nogliki,51.8333,143.1667,7.97,77,95,5.36,RU,1697296413
356,tangalle,6.024,80.7911,26.09,88,84,2.88,LK,1697296413
357,isfara,40.1265,70.6253,9.55,40,11,1.62,TJ,1697296413
358,sinjar,36.3209,41.8754,26.57,20,0,0.79,IQ,1697296414
359,borzya,50.3833,116.5167,3.92,35,0,7.37,RU,1697296414
360,ndele,8.4109,20.6473,28.8,74,93,1.38,CF,1697296414
361,plettenberg bay,-34.0527,23.3716,16.96,76,65,8.57,ZA,1697296414
362,kailua-kona,19.6406,-155.9956,27.0,84,0,3.09,US,1697296363
363,praia da vitoria,38.7333,-27.0667,23.14,73,20,4.54,PT,1697296414
